Wall time,Step,Value
1740848490.9484444,0,0.05646349489688873
1740848491.756425,1,0.04749400168657303
1740848491.84055,2,0.0464010015130043
1740848491.892044,3,0.04510577768087387
1740848491.924775,4,0.04433180391788483
1740848491.9552083,5,0.04434807971119881
1740848491.984589,6,0.0440409854054451
1740848492.012879,7,0.04425790533423424
1740848492.0403965,8,0.04408152401447296
1740848492.0680566,9,0.04366990923881531
1740848492.0953252,10,0.04441734030842781
1740848492.6579018,11,0.04372633621096611
1740848492.7129242,12,0.04394296556711197
1740848492.7833862,13,0.043803222477436066
1740848492.863756,14,0.043729621917009354
1740848492.9440312,15,0.043734148144721985
1740848493.016409,16,0.04386700317263603
1740848493.0975728,17,0.04352099448442459
1740848493.177245,18,0.04349425435066223
1740848493.2512913,19,0.04375036060810089
1740848493.3313088,20,0.04325241595506668
1740848493.943489,21,0.0434359535574913
1740848494.0253277,22,0.04339665547013283
1740848494.0978425,23,0.04342561215162277
1740848494.1758618,24,0.04317187890410423
1740848494.2156632,25,0.043284617364406586
1740848494.2490916,26,0.04339708015322685
1740848494.2803159,27,0.04326542094349861
1740848494.3098736,28,0.04327893629670143
1740848494.338193,29,0.04338181018829346
1740848494.3658793,30,0.0433267317712307
1740848494.9849603,31,0.04307496175169945
1740848495.0631945,32,0.04341316968202591
1740848495.1242275,33,0.04324295371770859
1740848495.157895,34,0.04334012791514397
1740848495.1887777,35,0.04340663552284241
1740848495.2183506,36,0.0431685671210289
1740848495.246209,37,0.04346739128232002
1740848495.27413,38,0.043587055057287216
1740848495.301884,39,0.04314381629228592
1740848495.328611,40,0.0436442494392395
1740848495.8314652,41,0.04387073963880539
1740848495.8977017,42,0.04332821071147919
1740848495.9764657,43,0.043413177132606506
1740848496.057271,44,0.04352075606584549
1740848496.1362374,45,0.04332290589809418
1740848496.201314,46,0.04360569268465042
1740848496.2349045,47,0.04343953728675842
1740848496.2658753,48,0.04325162246823311
1740848496.2958548,49,0.04318741708993912
1740848496.3246164,50,0.043352678418159485
1740848497.0303633,51,0.043288297951221466
1740848497.1063807,52,0.04301058128476143
1740848497.2032392,53,0.04325771704316139
1740848497.2909112,54,0.04314890131354332
1740848497.3809185,55,0.04323262721300125
1740848497.4641418,56,0.04325199872255325
1740848497.5556211,57,0.04313656687736511
1740848497.6434705,58,0.043134260922670364
1740848497.722464,59,0.04315025359392166
1740848497.8201973,60,0.043175164610147476
1740848498.646553,61,0.04312813654541969
1740848498.7192702,62,0.04312853515148163
1740848498.8034961,63,0.04299785569310188
1740848498.8827085,64,0.043138131499290466
1740848498.9621742,65,0.04314729571342468
1740848499.0397217,66,0.04312342032790184
1740848499.1256542,67,0.043127596378326416
1740848499.2067306,68,0.0431213416159153
1740848499.2857273,69,0.043159354478120804
1740848499.368045,70,0.04327667877078056
1740848499.9654338,71,0.04315509647130966
1740848499.9971943,72,0.043257370591163635
1740848500.0256758,73,0.043143946677446365
1740848500.054686,74,0.043135251849889755
1740848500.0826974,75,0.043224990367889404
1740848500.1112049,76,0.04318951815366745
1740848500.1620166,77,0.043201252818107605
1740848500.1993093,78,0.04312094673514366
1740848500.2302685,79,0.04312010481953621
1740848500.2593741,80,0.04312264174222946
1740848500.915452,81,0.04312808811664581
1740848500.993867,82,0.043119877576828
1740848501.0508664,83,0.043126728385686874
1740848501.1297348,84,0.04311846196651459
1740848501.190184,85,0.043118078261613846
1740848501.247705,86,0.04311826825141907
1740848501.3032339,87,0.04311903938651085
1740848501.3655462,88,0.04312393069267273
1740848501.4313924,89,0.04316549003124237
1740848501.5030673,90,0.043130382895469666
1740848502.0972674,91,0.04316507279872894
1740848502.1685107,92,0.04312285780906677
1740848502.24241,93,0.043124135583639145
1740848502.322234,94,0.04313217103481293
1740848502.4034488,95,0.0431397408246994
1740848502.4933913,96,0.043118588626384735
1740848502.532692,97,0.043119270354509354
1740848502.5637462,98,0.04313717782497406
1740848502.5932908,99,0.04311943054199219
1740848502.6517804,100,0.04314171150326729
1740848503.2764642,101,0.04299737140536308
1740848503.305874,102,0.043130725622177124
1740848503.3347042,103,0.04299817234277725
1740848503.3628595,104,0.04311814904212952
1740848503.391367,105,0.04311950504779816
1740848503.4197974,106,0.043120384216308594
1740848503.4481215,107,0.0431223101913929
1740848503.4769452,108,0.043119072914123535
1740848503.5053287,109,0.043118543922901154
1740848503.5338628,110,0.04311893507838249
1740848504.075592,111,0.043118394911289215
1740848504.1046433,112,0.04311925172805786
